lamA thr_arm1 thr_arm2 thr_arm3
3500.0 0.0 0.0 0.0
3510.0 0.0 0.0 0.0
3520.0 0.0 0.0 0.0
3530.0 0.0 0.0 0.0
3540.0 0.0 0.0 0.0
3550.0 0.0 0.0 0.0
3560.0 0.0 0.0 0.0
3570.0 0.0 0.0 0.0
3580.0 0.0 0.0 0.0
3590.0 0.0 0.0 0.0
3600.0 0.0 0.0 0.0
3610.0 0.0 0.0 0.0
3620.0 0.0 0.0 0.0
3630.0 0.0 0.0 0.0
3640.0 0.0 0.0 0.0
3650.0 0.0 0.0 0.0
3660.0 0.0 0.0 0.0
3670.0 0.0 0.0 0.0
3680.0 0.0 0.0 0.0
3690.0 0.0 0.0 0.0
3700.0 0.0 0.0 0.0
3710.0 0.0 0.0 0.0
3720.0 0.0 0.0 0.0
3730.0 0.0 0.0 0.0
3740.0 0.0 0.0 0.0
3750.0 0.0 0.0 0.0
3760.0 0.0 0.0 0.0
3770.0 0.0 0.0 0.0
3780.0 0.0 0.0 0.0
3790.0 0.0 0.0 0.0
3800.0 0.0 0.0 0.0
3810.0 0.0 0.0 0.0
3820.0 0.0 0.0 0.0
3830.0 0.0 0.0 0.0
3840.0 0.0 0.0 0.0
3850.0 0.0 0.0 0.0
3860.0 0.0 0.0 0.0
3870.0 0.0 0.0 0.0
3880.0 0.0 0.0 0.0
3890.0 0.0 0.0 0.0
3900.0 0.0 0.0 0.0
3910.0 0.0 0.0 0.0
3920.0 0.0 0.0 0.0
3930.0 0.0 0.0 0.0
3940.0 0.0 0.0 0.0
3950.0 0.0 0.0 0.0
3960.0 0.0 0.0 0.0
3970.0 0.0 0.0 0.0
3980.0 0.0 0.0 0.0
3990.0 0.0 0.0 0.0
4000.0 0.0 0.0 0.0
4010.0 0.2959427900323521 0.0 0.0
4020.0 0.3112305402470588 0.0 0.0
4030.0 0.3290972945007754 0.0 0.0
4040.0 0.3448556730661065 0.0 0.0
4050.0 0.35242425853899517 0.0 0.0
4060.0 0.3480602791044211 0.0 0.0
4070.0 0.33408084395880894 0.0 0.0
4080.0 0.3156965829505659 0.0 0.0
4090.0 0.2975466070555723 0.0 0.0
4100.0 0.2777339460714943 0.0 0.0
4110.0 0.26103279596722473 0.0 0.0
4120.0 0.24618455843745907 0.0 0.0
4130.0 0.23385589870517184 0.0 0.0
4140.0 0.22622266825087198 0.0 0.0
4150.0 0.0 0.0 0.0
4160.0 0.0 0.0 0.0
4170.0 0.0 0.0 0.0
4180.0 0.0 0.0 0.0
4190.0 0.0 0.0 0.0
4200.0 0.0 0.0 0.0
4210.0 0.0 0.0 0.0
4220.0 0.0 0.0 0.0
4230.0 0.0 0.0 0.0
4240.0 0.0 0.0 0.0
